"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220501 ~ 20230430"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"대구광역시 남구 봉덕동","산89-3","0089","0003","미리내","84.19","202208","18","29,000","6","1982","효성로 13","","중개거래","대구 수성구"
"대구광역시 남구 봉덕동","산89-3","0089","0003","미리내","84.19","202208","22","28,000","6","1982","효성로 13","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","산89-3","0089","0003","미리내","126.78","202209","21","34,000","6","1982","효성로 13","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","산89-3","0089","0003","미리내","126.78","202210","1","37,000","9","1982","효성로 13","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","산89-3","0089","0003","미리내","84.19","202301","30","20,511","9","1982","효성로 13","","직거래","-"
"대구광역시 남구 봉덕동","산89-3","0089","0003","미리내","84.19","202303","10","20,000","7","1982","효성로 13","","중개거래","-"
"대구광역시 남구 봉덕동","산89-3","0089","0003","미리내","84.19","202303","18","20,400","10","1982","효성로 13","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","산89-3","0089","0003","미리내","107.37","202304","17","30,000","6","1982","효성로 13","","중개거래","대구 남구"
"대구광역시 남구 봉덕동","산89-3","0089","0003","미리내","84.19","202304","25","23,000","2","1982","효성로 13","","직거래","-"
"대구광역시 남구 봉덕동","1657","1657","0000","봉덕2차화성파크드림","59.9878","202303","30","32,000","7","2022","대덕로 161","","중개거래","대구 남구, 대구 수성구"
