정류장명,위도,경도
현내삼거리(자인방향),35.85068,128.84676
송림지(매남방향),35.807,128.9206
송림지(송림방향),35.8073,128.9206
선화1리(골프장방향),35.8758,128.8042
선화1리(진량방향),35.8757,128.8045
금정사 건너,35.8691,128.8188
광석리2(다문방향),35.8533,128.8468
하양초교 화성분교 건너,35.88496,128.79109
금정사,35.8693,128.8191
진량호반베르디움,35.87466,128.81193
진량보국웰리치A,35.8727,128.8188
진량보국웰리치A 건너,35.873,128.8191
선안,35.85,128.8616
선안(경산방향),35.8501,128.8616
보인1리(매일유업),35.8798,128.8123
신상중학교,35.8755,128.8204
신상중학교 건너,35.8757,128.8202
시민운동장삼거리 건너,35.88985,128.79572
시민운동장삼거리,35.8893,128.7951
다문리(마곡방향),35.8648,128.8481
시문리,35.8648,128.8482
매남종점,35.8118,128.9376
매남종점(송림방향),35.8119,128.9376
매남가든(송림방향),35.8248,128.919
매남가든,35.8248,128.919
삼주봉황타운2차,35.8843,128.8213
삼주봉황타운1차,35.8844,128.8217
삼주봉황타운4차,35.8837,128.8254
다문초교,35.8698,128.8522
다문초교 건너,35.8697,128.8523
다문네거리(마곡방향),35.871,128.8547
다문네거리(다문방향),35.87123,128.85478
다문네거리(아사방향),35.871,128.855
다문네거리(마곡방향),35.8712,128.8547
다문네거리(다문방향),35.871,128.8551
문천리(다문방향),35.8784,128.8437
문천리(진량방향),35.8786,128.8437
경일대정문 건너,35.90231,128.80075
다문리1(다문방향),35.8763,128.8486
다문새마을금고(진량방향),35.8764,128.8486
아사,35.8665,128.8672
아사(다문방향),35.8665,128.8672
"다문리2(다문,평사방향)",35.8766,128.8515
"다문리2(평사,진량방향)",35.8764,128.8519
다문리(까치슈퍼건너),35.8767,128.8518
다문리2(다문방향),35.8768,128.8517
대곡2리(하양방향),35.9252,128.7649
대곡2리,35.9252,128.765
대곡1리(하양방향),35.9211,128.78
대곡1리(대곡방향),35.9211,128.78
다문리3(다문방향),35.8821,128.8514
양기리회관(초원방향),35.8957,128.8297
부림초교,35.8981,128.8256
양기리회관(하양방향),35.8958,128.8297
진량에덴타운,35.89824,128.82572
양기리(초원방향),35.897,128.8278
진량초원A,35.8922,128.8364
양기리(하양방향),35.8966,128.8288
진량초원A(경산방향),35.8924,128.8364
대구대삼거리2(하양방향),35.8997,128.8248
서사리(하양방향),35.9162,128.8045
서사리(대곡방향),35.9159,128.8066
평사1리,35.8859,128.8609
평사1리경로당(경산방향),35.8871,128.8601
평사리1(대구대방향),35.887,128.8604
평사2리(경산방향),35.8885,128.8586
평사리2(대구대방향),35.88854,128.85864
평사리(미래산업건너),35.8909,128.8577
대구대정문 건너,35.897,128.8493
대구대종점 건너,35.8969,128.8513
도리리(대곡방향),35.91623,128.81659
구.우시장,35.9168,128.8179
구.우시장 건너,35.9168,128.8178
하양시장 건너,35.9149,128.8212
새현대약국 건너,35.91762,128.81855
하양성당,35.91897,128.81993
하양성당 건너,35.91909,128.82027
하양코아루아파트,35.9176,128.8262
음양종점(경산방향),35.9631,128.7435
음양종점,35.9634,128.7435
교리(와촌방향),35.9239,128.824
S-Oil주유소 건너,35.9244,128.8243
음양1리마을회관,35.9587,128.7611
음양1리,35.9587,128.7611
한사리(하양방향),35.9252,128.8245
한사리(와촌방향),35.9252,128.8247
하진지구대,35.9263,128.8251
음양1리(능성방향),35.9608,128.7614
음양1리(경산방향),35.9605,128.7621
음양2리(경산방향),35.9602,128.7687
음양2리(능성방향),35.96052,128.76932
강학1리(경산방향),35.96,128.774
하양여중고 건너,35.9313,128.8285
하양여중고,35.93116,128.82815
소월(경산방향),35.9444,128.8081
소월,35.9444,128.8081
강학2리(능성방향),35.95954,128.78416
강학2리(경산방향),35.95939,128.78422
유창전원마을,35.95929,128.78762
불굴사,35.9582,128.7921
신한리,35.958,128.7932
갓바위입구,35.95888,128.79285
갓바위종점(경산방향),35.9866,128.7402
갓바위종점,35.9868,128.7401
신안교차로(경산방향),35.95953,128.7923
신안교차로(갓바위방향),35.9598,128.7922
약사암입구(경산방향),35.9763,128.7613
약사암입구(갓바위방향),35.9763,128.7617
원효암(경산방향),35.9751,128.7646
예다인아파트,35.93794,128.83325
원효암(갓바위방향),35.975,128.7648
박사리(능성방향),35.95701,128.8012
짜임A 건너,35.9387,128.8338
박사리(경산방향),35.9569,128.8007
한동입구(경산방향),35.96245,128.79113
한동입구(갓바위방향),35.96239,128.79122
대한리경로당(경산방향),35.97424,128.76948
계당1리(경산방향),35.9308,128.8497
계당1리(상암방향),35.9308,128.8498
대한리경로당(갓바위방향),35.97432,128.76918
갓바위주차장(갓바위방향),35.9857,128.7489
갓바위주차장(경산방향),35.98561,128.74895
감나무식당 건너,35.9854,128.7509
선빌리지,35.9646,128.79091
선빌리지 건너,35.96462,128.791
감나무식당,35.9856,128.7512
신천1리(경산방향),35.9341,128.8477
신천1리(상암방향),35.9342,128.8477
대동초교,35.9574,128.8057
대동초교 건너,35.9572,128.8062
상암입구,35.9417,128.8348
벽암사(갓바위방향),35.97316,128.77668
벽암사(경산방향),35.97359,128.77613
소월저수지,35.9426,128.8347
양곡리(능성방향),35.95671,128.81004
양곡리(경산방향),35.9566,128.8106
정각단입구(경산방향),35.96651,128.79032
정각단입구(갓바위방향),35.966,128.79059
천성암(경산방향),35.97368,128.78102
천성암(갓바위방향),35.97375,128.78111
폭포입구(갓바위방향),35.97098,128.78692
폭포입구(경산방향),35.9707,128.78707
와촌면사무소,35.9452,128.8358
상암리1(상암방향),35.9407,128.8443
상암리1(경산방향),35.9407,128.8443
와촌면사무소 건너,35.9459,128.8358
방거리(경산방향),35.957,128.8165
방거리(능성방향),35.95704,128.81572
상암1리(경산방향),35.94064,128.84635
상암리2(상암방향),35.9405,128.8471
소월입구(경산방향),35.9569,128.8206
소월입구(능성방향),35.95714,128.81982
와촌초교 건너,35.9494,128.8365
와촌초교,35.9494,128.8367
상암리3(상암방향),35.9412,128.8533
상암리3(경산방향),35.9412,128.8535
계전1리(영천방향),35.9513,128.8359
계전1리(와촌방향),35.9518,128.8355
소월2리(경산방향),35.95586,128.82903
소월2리(갓바위방향),35.95608,128.82884
동강리2(경산방향),35.9546,128.8317
동강리2(갓바위방향),35.9547,128.8318
상암리4(상암방향),35.941,128.8569
동강리1(갓바위방향),35.9541,128.834
동강삼거리(경산방향),35.95385,128.83456
동강삼거리(갓바위방향),35.9539,128.8347
상암리종점(경산방향),35.9429,128.8597
상암리종점,35.943,128.8598
계전리(와촌방향),35.9604,128.83
계전리(영천방향),35.9611,128.8294
대구경계지점(경산방향),35.82749,128.71078
대구경계지점건너,35.82788,128.71072
경산시청 건너,35.82524,128.74268
경산시청앞,35.82541,128.74239
임당호반베르디움 앞,35.83104,128.74143
중방성당 앞,35.83075,128.74115
사동휴먼시아2차 건너,35.80867,128.7608
사동휴먼시아2차 앞,35.80805,128.76069
사동고등학교 건너,35.8081,128.75242
사동고등학교,35.8087,128.75233
사동우방A 건너,35.81426,128.75697
사동우방A,35.81444,128.75688
백천큰집막창,35.80255,128.73568
백천큰집막창 건너,35.80253,128.73558
백천실내테니스장,35.80106,128.73663
백천실내테니스장 건너,35.80119,128.73652
당리리회관 건너,35.8185,128.79617
대한솔루션 건너,35.86352,128.8226
성림산업사,35.87706,128.8292
성림산업사 건너,35.87726,128.82911
환상교회,35.88111,128.78751
환상교회 건너,35.88093,128.78721
대조1리(하양방향),35.8967,128.80238
유곡지종점,35.79124,128.78106
유곡지(내동방향),35.7912,128.78108
당리리회관,35.81842,128.7962
대풍지,35.81823,128.76916
영대교(영대방향),35.83388,128.73282
하양역 건너(산업도로),35.90973,128.81686
효령,35.87586,128.82835
정평역2번출구,35.83417,128.72687
곡란_청도경계,35.75414,128.88814
곡란_청도경계(용성방향),35.75416,128.88823
하양읍사무소 건너,35.91179,128.81194
대평그린빌A 앞,35.8373,128.73203
대평그린빌A 뒤,35.8397,128.73114
백천부영 초록마을정문,35.80823,128.73731
산전리마을회관,35.78493,128.7153
흥산2리새마을복지회관,35.74871,128.7211
신동아마트 건너,35.81424,128.72908
신동아파밀리에(육교),35.81241,128.73028
흥산1리새마을회관 건너,35.75199,128.73131
흥산1리새마을회관,35.75209,128.73122
흥산리2,35.75077,128.72572
흥산리1,35.75079,128.72563
영남외국어대정문,35.78668,128.7319
중방e편한세상 건너,35.8342,128.73708
신월리,35.82946,128.79279
평산동(숲안마을),35.81004,128.77343
경산과학고 건너,35.82124,128.76764
경산과학고 앞,35.82139,128.76787
관음휴게소,35.98554,128.74642
조곡종점,35.76985,128.81374
부림예식장,35.9121,128.82106
하양농협 강남지소 건너,35.88376,128.78986
환상3리(하양방향),35.87512,128.78217
북1리 건너,35.88963,128.82058
현흥2리마을회관,35.8718,128.78074
문천2리,35.8856,128.8382
내리리,35.90534,128.83992
인터불고경산CC(경산방향),35.80269,128.76457
대부잠수교,35.89871,128.8012
진량삼성슈퍼,35.89728,128.82732
용전리아래마을,35.77204,128.92072
대원리마을회관입구,35.85629,128.82225
대원리마을회관 건너,35.8564,128.82225
신대리부영아파트 건너(경산방향),35.84026,128.76749
압량초등학교,35.84065,128.76708
신대근린공원 건너,35.84067,128.76414
