,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,시군구+도로명+면적,시군구+도로명,계약년월일,경도,위도
5058,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,230.7309,201911,29,"345,000",48,2009.0,달구벌대로 2435,,-,-,대구광역시 수성구 범어동 달구벌대로 2435 230.7309,대구광역시 수성구 범어동 달구벌대로 2435,20191129,128.629407158,35.860479220
5059,대구광역시 수성구 범어동,551-7,551,7,범어네거리클래시아,46.2928,202303,29,"24,500",22,2020.0,달구벌대로480길 9,,중개거래,대구 수성구,대구광역시 수성구 범어동 달구벌대로480길 9 46.2928,대구광역시 수성구 범어동 달구벌대로480길 9,20230329,128.624419471,35.858284300
5060,대구광역시 수성구 범어동,375-3,375,3,보성,41.29,202006,20,"33,500",4,1982.0,달구벌대로488길 42,,-,-,대구광역시 수성구 범어동 달구벌대로488길 42 41.29,대구광역시 수성구 범어동 달구벌대로488길 42,20200620,128.629009898,35.855201936
5061,대구광역시 수성구 범어동,375-3,375,3,보성,52.4575,202010,13,"42,600",2,1982.0,달구벌대로488길 42,,-,-,대구광역시 수성구 범어동 달구벌대로488길 42 52.4575,대구광역시 수성구 범어동 달구벌대로488길 42,20201013,128.629009898,35.855201936
5062,대구광역시 수성구 범어동,375-3,375,3,보성,73.77,202103,14,"38,200",4,1982.0,달구벌대로488길 42,,-,-,대구광역시 수성구 범어동 달구벌대로488길 42 73.77,대구광역시 수성구 범어동 달구벌대로488길 42,20210314,128.629009898,35.855201936
5063,대구광역시 수성구 범어동,238-46,238,46,우방범어타운3,75.705,202105,28,"85,000",3,1984.0,달구벌대로492길 12,,-,-,대구광역시 수성구 범어동 달구벌대로492길 12 75.705,대구광역시 수성구 범어동 달구벌대로492길 12,20210528,128.630719091,35.857802973
5064,대구광역시 수성구 범어동,238-46,238,46,우방범어타운3,83.535,201907,27,"64,200",4,1984.0,달구벌대로492길 12,,-,-,대구광역시 수성구 범어동 달구벌대로492길 12 83.535,대구광역시 수성구 범어동 달구벌대로492길 12,20190727,128.630719091,35.857802973
5065,대구광역시 수성구 범어동,238-46,238,46,우방범어타운3,84.89,202108,13,"95,700",3,1984.0,달구벌대로492길 12,,-,-,대구광역시 수성구 범어동 달구벌대로492길 12 84.89,대구광역시 수성구 범어동 달구벌대로492길 12,20210813,128.630719091,35.857802973
5066,대구광역시 수성구 범어동,238-46,238,46,우방범어타운3,84.935,202010,21,"89,000",4,1984.0,달구벌대로492길 12,,-,-,대구광역시 수성구 범어동 달구벌대로492길 12 84.935,대구광역시 수성구 범어동 달구벌대로492길 12,20201021,128.630719091,35.857802973
5067,대구광역시 수성구 범어동,243,243,0,범어우방그린빌,142.7474,202105,4,"127,000",2,2003.0,달구벌대로492길 20,,-,-,대구광역시 수성구 범어동 달구벌대로492길 20 142.7474,대구광역시 수성구 범어동 달구벌대로492길 20,20210504,128.632503277,35.856821144
5068,대구광역시 수성구 범어동,243,243,0,범어우방그린빌,152.7513,201902,19,"90,000",4,2003.0,달구벌대로492길 20,,-,-,대구광역시 수성구 범어동 달구벌대로492길 20 152.7513,대구광역시 수성구 범어동 달구벌대로492길 20,20190219,128.632503277,35.856821144
5069,대구광역시 수성구 범어동,246-10,246,10,범어네스트,84.98,202009,19,"45,500",5,2007.0,달구벌대로496길 20-7,,-,-,대구광역시 수성구 범어동 달구벌대로496길 20-7 84.98,대구광역시 수성구 범어동 달구벌대로496길 20-7,20200919,128.632595173,35.856559211
5070,대구광역시 수성구 범어동,259-1,259,1,범어우방파크빌,140.4725,202008,21,"163,000",12,2001.0,달구벌대로496길 36,,-,-,대구광역시 수성구 범어동 달구벌대로496길 36 140.4725,대구광역시 수성구 범어동 달구벌대로496길 36,20200821,128.633678113,35.855236026
5071,대구광역시 수성구 범어동,259-1,259,1,범어우방파크빌,144.9775,202010,10,"150,000",1,2001.0,달구벌대로496길 36,,-,-,대구광역시 수성구 범어동 달구벌대로496길 36 144.9775,대구광역시 수성구 범어동 달구벌대로496길 36,20201010,128.633678113,35.855236026
5072,대구광역시 수성구 범어동,259-1,259,1,범어우방파크빌,151.5801,202102,27,"177,000",7,2001.0,달구벌대로496길 36,,-,-,대구광역시 수성구 범어동 달구벌대로496길 36 151.5801,대구광역시 수성구 범어동 달구벌대로496길 36,20210227,128.633678113,35.855236026
5073,대구광역시 수성구 범어동,292-4,292,4,우방하이니스,204.57,201811,6,"56,000",5,1996.0,달구벌대로496길 46,,-,-,대구광역시 수성구 범어동 달구벌대로496길 46 204.57,대구광역시 수성구 범어동 달구벌대로496길 46,20181106,128.634104543,35.854620394
5074,대구광역시 수성구 범어동,292-4,292,4,우방하이니스,216.74,202008,5,"105,500",2,1996.0,달구벌대로496길 46,,-,-,대구광역시 수성구 범어동 달구벌대로496길 46 216.74,대구광역시 수성구 범어동 달구벌대로496길 46,20200805,128.634104543,35.854620394
5075,대구광역시 수성구 범어동,305-3,305,3,서한두레,133.505,202009,8,"122,500",7,1993.0,달구벌대로496길 72,,-,-,대구광역시 수성구 범어동 달구벌대로496길 72 133.505,대구광역시 수성구 범어동 달구벌대로496길 72,20200908,128.634696429,35.851944725
